#Puzzle_P1_G2,10.76.0.117
Social_P1_C3,10.76.0.115
Feeder_P1_C3,10.76.0.212

#Puzzle_P2_G4,10.76.0.198
Social_P2_G2,10.76.0.103
Feeder_P2_G2,10.76.0.123

#Puzzle_P3_G6,10.76.0.116
Social_P3_C5,10.76.0.209
Feeder_P3_C5,10.76.0.204

#Puzzle_P4_G8,10.76.0.122
Social_P4_G4,10.76.0.106
Feeder_P4_G4,10.76.0.199

#Puzzle_P5_C3,10.76.0.119
Social_P5_C7,10.76.0.203
Feeder_P5_C7,10.76.0.197

#Puzzle_P6_C5,10.76.0.120
#Puzzle_P6_C5,10.76.0.219
Social_P6_G6,10.76.0.108
Feeder_P6_G6,10.76.0.113

#Puzzle_P7_C7,10.76.0.213
Social_P7_C9,10.76.0.211
Feeder_P7_C9,10.76.0.210

#Puzzle_P8_C9,10.76.0.214
Social_P8_G8,10.76.0.112
Feeder_P8_G8,10.76.0.118

#Puzzle_P9_D5,10.76.0.215
Social_P9_D5,10.76.0.102
Feeder_P9_D5,10.76.0.197

#Puzzle_P10_D7,10.76.0.216
Social_P10_D7,10.76.0.217
Feeder_P10_D7,10.76.0.218

#Puzzle_P11_D6,10.76.0.190
Social_P11_D6,10.76.0.191
Feeder_P11_D6,10.76.0.192

#Puzzle_P12_D8,10.76.0.194
Social_P12_D8,10.76.0.195
Feeder_P12_D8,10.76.0.196
